scope,scope_kind,category_name,indicator_id,indicator_name,unit,measured_value,satisfaction,target,threshold,worst,one_sided,provenance,n_cases,n_measured,n_not_applicable,n_no_start,n_no_end,coverage,source
__baseline__,baseline,,112,Time to fine dispatch (days),days,87.51452024451775,4.0,30.0,90.0,360.0,False,statutory,150370,103987,0,0,46383,0.6915,"threshold 90 d and worst 360 d: Art. 201 D.Lgs. 285/1992 (ordinary notification term; extended term for parties resident abroad). target 30 d: L. 241/1990 art. 2 c.2, the default term for concluding an administrative proceeding, applied by analogy as an operational aspiration -- the specific term in Art. 201 is what binds."
__baseline__,baseline,,113,"Time to appeal filing, Prefecture (days)",days,48.58478898249091,100.0,60.0,60.0,120.0,True,statutory,150370,4036,146182,145,7,0.9637,"threshold 60 d: Art. 203 D.Lgs. 285/1992, the window for a ricorso al Prefetto; corroborated by the Delay Prefecture' < 60 days guard in Mannhardt et al. (2016, Fig. 8). target == threshold because an admissibility window is a boundary, not a gradient. worst 120 d illustrative (2x the window)."
__baseline__,baseline,,175,"Time to appeal filing, Judge (days)",days,95.89304522924411,-100.0,30.0,30.0,60.0,True,statutory,150370,538,149815,17,0,0.9694,"threshold 30 d: Art. 204-bis D.Lgs. 285/1992, the window for a ricorso al Giudice di Pace -- half the Prefecture window, which v1.1 collapsed into a single 60-day indicator taken from Mannhardt et al. (2016, Fig. 8)'s Delay Judge' guard rather than from the statute. worst 60 d illustrative (2x)."
__baseline__,baseline,,114,Average time to case closure (days),days,378.7230786161043,-100.0,150.0,180.0,365.0,False,external-by-analogy,150370,126840,0,0,23530,0.8435,"threshold 180 d: L. 241/1990 art. 2, which caps any administrative proceeding's term at 180 days. target 150 d: Art. 201's 90-day notification term plus Art. 203's 60-day payment/appeal window, i.e. the earliest lawful completion of an uncontested case. worst 365 d illustrative. Replaces v1.1's acknowledged invented placeholder."
coercive_credit_collection,category,Resolve via coercive credit collection,112,Time to fine dispatch (days),days,84.12412939960346,9.0,30.0,90.0,360.0,False,statutory,59011,59011,0,0,0,1.0,"threshold 90 d and worst 360 d: Art. 201 D.Lgs. 285/1992 (ordinary notification term; extended term for parties resident abroad). target 30 d: L. 241/1990 art. 2 c.2, the default term for concluding an administrative proceeding, applied by analogy as an operational aspiration -- the specific term in Art. 201 is what binds."
coercive_credit_collection,category,Resolve via coercive credit collection,113,"Time to appeal filing, Prefecture (days)",days,41.65684523809524,100.0,60.0,60.0,120.0,True,statutory,59011,280,58731,0,0,1.0,"threshold 60 d: Art. 203 D.Lgs. 285/1992, the window for a ricorso al Prefetto; corroborated by the Delay Prefecture' < 60 days guard in Mannhardt et al. (2016, Fig. 8). target == threshold because an admissibility window is a boundary, not a gradient. worst 120 d illustrative (2x the window)."
coercive_credit_collection,category,Resolve via coercive credit collection,175,"Time to appeal filing, Judge (days)",days,58.836757990867575,-96.0,30.0,30.0,60.0,True,statutory,59011,146,58865,0,0,1.0,"threshold 30 d: Art. 204-bis D.Lgs. 285/1992, the window for a ricorso al Giudice di Pace -- half the Prefecture window, which v1.1 collapsed into a single 60-day indicator taken from Mannhardt et al. (2016, Fig. 8)'s Delay Judge' guard rather than from the statute. worst 60 d illustrative (2x)."
coercive_credit_collection,category,Resolve via coercive credit collection,114,Average time to case closure (days),days,690.5265804962918,-100.0,150.0,180.0,365.0,False,external-by-analogy,59011,59011,0,0,0,1.0,"threshold 180 d: L. 241/1990 art. 2, which caps any administrative proceeding's term at 180 days. target 150 d: Art. 201's 90-day notification term plus Art. 203's 60-day payment/appeal window, i.e. the earliest lawful completion of an uncontested case. worst 365 d illustrative. Replaces v1.1's acknowledged invented placeholder."
timely_payment,category,Resolve via timely payment,112,Time to fine dispatch (days),days,66.8098459080602,38.0,30.0,90.0,360.0,False,statutory,49617,3234,0,0,46383,0.0652,"threshold 90 d and worst 360 d: Art. 201 D.Lgs. 285/1992 (ordinary notification term; extended term for parties resident abroad). target 30 d: L. 241/1990 art. 2 c.2, the default term for concluding an administrative proceeding, applied by analogy as an operational aspiration -- the specific term in Art. 201 is what binds."
timely_payment,category,Resolve via timely payment,113,"Time to appeal filing, Prefecture (days)",days,,,60.0,60.0,120.0,True,statutory,49617,0,49617,0,0,0.0,"threshold 60 d: Art. 203 D.Lgs. 285/1992, the window for a ricorso al Prefetto; corroborated by the Delay Prefecture' < 60 days guard in Mannhardt et al. (2016, Fig. 8). target == threshold because an admissibility window is a boundary, not a gradient. worst 120 d illustrative (2x the window)."
